가격,도서명,평점
A Light in the Attic,51.77,Three
Tipping the Velvet,One,53.74
Soumission,50.10,One
47.82,Sharp Objects,Four
54.23,Five,Sapiens: A Brief History of Humankind
The Requiem Red,22.65,One
33.34,Four,The Dirty Little Secrets of Getting Your Dream Job
Three,17.93,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,22.60
52.15,One,The Black Maria
Two,13.99,"Starving Hearts (Triangular Trade Trilogy, #1)"
Shakespeare's Sonnets,20.66,Four
17.46,Set Me Free,Five
52.29,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five
Rip it Up and Start Again,Five,35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,57.25
Olio,23.88,One
One,37.59,Mesaerion: The Best Science Fiction Stories 1800-1849
Libertarianism for Beginners,51.33,Two
It's Only the Himalayas,45.17,Two
